subj_id,testing_booth,age,gender,handedness,olife_total,olife_un_ex,olife_cog_dis,olife_int_anh,olife_imp_non
p1001,12,18,F,R,50,11,15,14,10
p1002,12,18,F,R,26,0,15,7,4
p1003,13,19,F,R,24,6,9,5,4
p1004,12,20,F,R,27,12,7,4,4
p1005,13,19,M,R,22,7,7,0,8
p1006,12,18,F,R,63,17,23,12,11
p1007,13,20,M,R,23,3,4,10,6
p1008,12,18,F,R,13,2,1,1,9
p1009,13,18,F,R,38,13,12,8,5
p1010,12,18,F,R,23,7,10,4,2
p1011,13,19,M,L,18,3,5,2,8
p1012,12,19,F,R,24,9,2,4,9
p1013,13,21,M,R,19,2,6,5,6
p1014,12,18,F,R,42,6,16,7,13
p1015,13,19,F,R,45,11,16,3,15
p1016,12,20,F,R,8,2,2,2,2
p1017,13,18,F,R,52,17,20,2,13
p1018,12,19,F,L,36,11,8,10,7
p1019,13,20,F,R,27,1,14,0,12
p1020,12,18,M,R,13,4,4,0,5
p1021,13,19,F,R,23,4,9,9,1
p1022,12,23,F,R,10,2,1,6,1
p1023,13,19,F,R,13,0,3,2,8
p1024,12,19,F,R,34,8,12,5,9
p1025,13,19,F,R,12,1,4,1,6
p1026,12,18,F,R,37,10,11,10,6
p1027,13,20,F,B,55,16,20,10,9
p1028,12,19,F,R,32,9,13,3,7
p1029,12,18,F,R,43,7,16,18,2
p1030,13,30,F,R,36,4,18,4,10
p1031,12,20,M,R,7,1,0,2,4
p1032,13,18,F,R,24,5,7,9,3
p1033,12,18,F,R,25,4,11,4,6
p1034,13,18,F,R,30,9,10,3,8
p1035,12,18,F,R,14,4,7,1,2
p1036,13,19,F,R,42,7,19,10,6
p1037,12,31,F,R,31,11,9,6,5
p1038,13,19,F,R,9,3,2,0,4
p1039,12,19,M,R,54,15,13,14,12
p1041,13,18,M,R,52,10,18,13,11
p1042,12,23,F,R,29,5,17,1,6
p1043,13,19,M,R,37,12,9,2,14
p1044,12,19,F,R,49,5,20,16,8
p1045,13,19,F,R,32,10,16,5,1
p1046,12,18,M,R,42,9,17,8,8
p1047,13,19,F,R,51,8,20,14,9
p1048,12,21,F,R,40,12,12,2,14
p1049,13,18,F,R,29,5,7,13,4
p1050,12,18,F,R,14,5,8,1,0
p1051,13,19,F,R,30,5,8,10,7
p1052,12,19,M,R,18,3,5,4,6
p1053,13,21,M,R,39,9,15,7,8
p1054,12,19,F,R,26,5,10,3,8
p1055,13,18,F,R,24,8,9,3,4
p1056,13,25,F,R,40,6,13,8,13
p1057,12,18,F,R,65,17,24,8,16
p1058,13,18,F,R,75,24,22,14,15
p1059,12,19,F,R,55,17,11,14,13
p1060,12,18,M,R,24,6,7,5,6
p1061,13,23,M,R,40,8,9,17,6
p1062,12,21,M,R,40,5,13,6,16
p1063,13,20,F,R,23,8,2,11,2
p1064,12,18,M,R,36,12,12,1,11
p1065,13,18,F,R,29,4,13,5,7
p1066,12,18,F,R,12,1,5,3,3
p1067,13,18,M,R,17,3,7,4,3
p1068,12,18,F,R,25,8,11,2,4
p1069,13,18,F,R,40,10,17,9,4
p1070,13,28,F,R,8,0,1,3,4
p1071,12,19,F,R,29,8,11,1,9
p1072,13,19,M,R,38,11,9,7,11
p1073,12,18,F,R,33,13,14,0,6
p1074,12,19,F,R,25,3,8,5,9
p1075,13,20,M,R,39,7,17,6,9
p1076,12,19,F,R,36,11,9,4,12
p1077,13,19,F,R,30,8,10,10,2
p1078,12,19,M,R,12,0,2,4,6
p1079,12,20,F,R,34,6,11,8,9
p1080,12,18,F,R,16,7,4,2,3
p1081,13,19,F,R,45,10,22,4,9
p1082,12,19,M,R,11,0,0,3,8
p1083,13,19,F,R,50,11,20,5,14
p1084,12,18,M,R,22,4,7,5,6
p1085,13,20,M,R,27,4,11,1,11
p1086,12,18,M,R,40,7,14,6,13
p1087,13,18,M,R,25,6,5,6,8
p1088,12,20,F,R,35,16,7,6,6
p1089,13,19,F,R,36,6,15,12,3
p1090,12,19,M,R,30,14,1,2,13
p1091,13,25,M,R,27,6,4,5,12
p1092,12,18,F,R,21,0,3,10,8
p1093,13,20,M,R,20,0,5,6,9
p1094,12,19,M,R,30,5,5,14,6
p1095,13,19,M,R,27,1,10,10,6
p1096,12,18,F,R,51,17,17,6,11
p1097,12,18,M,R,16,4,4,6,2
p1098,13,19,M,L,4,2,0,2,0
p1099,12,19,M,R,29,6,10,3,10
p1100,13,23,F,R,21,8,5,3,5
p1101,12,19,F,R,22,7,6,6,3
